stat rdma operate:
phase:3000
Type:rdma_send, src_node:1024, src_port:0, dst_node:0, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1025, src_port:0, dst_node:1, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1026, src_port:0, dst_node:2, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1027, src_port:0, dst_node:3, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1028, src_port:0, dst_node:4, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1029, src_port:0, dst_node:5, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1030, src_port:0, dst_node:6, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1031, src_port:0, dst_node:7, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1032, src_port:0, dst_node:8, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1033, src_port:0, dst_node:9, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1034, src_port:0, dst_node:10, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1035, src_port:0, dst_node:11, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1036, src_port:0, dst_node:12, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1037, src_port:0, dst_node:13, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1038, src_port:0, dst_node:14, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1039, src_port:0, dst_node:15, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1040, src_port:0, dst_node:16, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1041, src_port:0, dst_node:17, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1042, src_port:0, dst_node:18, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1043, src_port:0, dst_node:19, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1044, src_port:0, dst_node:20, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1045, src_port:0, dst_node:21, dst_port:0, priority:1, msg_len:134217728
Type:rdma_send, src_node:1046, src_port:0, dst_node:22, dst_port:0, priority:1, msg_len:134217728
