stat rdma operate:
phase:3000
Type:rdma_send, src_node:11376, src_port:0, dst_node:11377, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11377, src_port:0, dst_node:11378, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11378, src_port:0, dst_node:11379, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11379, src_port:0, dst_node:11380, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11380, src_port:0, dst_node:11381, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11381, src_port:0, dst_node:11382, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11382, src_port:0, dst_node:11383, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11383, src_port:0, dst_node:11384, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11384, src_port:0, dst_node:11385, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11385, src_port:0, dst_node:11386, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11386, src_port:0, dst_node:11387, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11387, src_port:0, dst_node:11388, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11388, src_port:0, dst_node:11389, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11389, src_port:0, dst_node:11390, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11390, src_port:0, dst_node:11391, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11391, src_port:0, dst_node:11376, dst_port:0, priority:0, msg_len:134217728
phase:3000
Type:rdma_send, src_node:11376, src_port:0, dst_node:11377, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11377, src_port:0, dst_node:11378, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11378, src_port:0, dst_node:11379, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11379, src_port:0, dst_node:11380, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11380, src_port:0, dst_node:11381, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11381, src_port:0, dst_node:11382, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11382, src_port:0, dst_node:11383, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11383, src_port:0, dst_node:11384, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11384, src_port:0, dst_node:11385, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11385, src_port:0, dst_node:11386, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11386, src_port:0, dst_node:11387, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11387, src_port:0, dst_node:11388, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11388, src_port:0, dst_node:11389, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11389, src_port:0, dst_node:11390, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11390, src_port:0, dst_node:11391, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11391, src_port:0, dst_node:11376, dst_port:0, priority:0, msg_len:134217728
phase:3000
Type:rdma_send, src_node:11376, src_port:0, dst_node:11377, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11377, src_port:0, dst_node:11378, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11378, src_port:0, dst_node:11379, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11379, src_port:0, dst_node:11380, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11380, src_port:0, dst_node:11381, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11381, src_port:0, dst_node:11382, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11382, src_port:0, dst_node:11383, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11383, src_port:0, dst_node:11384, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11384, src_port:0, dst_node:11385, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11385, src_port:0, dst_node:11386, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11386, src_port:0, dst_node:11387, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11387, src_port:0, dst_node:11388, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11388, src_port:0, dst_node:11389, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11389, src_port:0, dst_node:11390, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11390, src_port:0, dst_node:11391, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11391, src_port:0, dst_node:11376, dst_port:0, priority:0, msg_len:134217728
phase:3000
Type:rdma_send, src_node:11376, src_port:0, dst_node:11377, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11377, src_port:0, dst_node:11378, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11378, src_port:0, dst_node:11379, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11379, src_port:0, dst_node:11380, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11380, src_port:0, dst_node:11381, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11381, src_port:0, dst_node:11382, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11382, src_port:0, dst_node:11383, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11383, src_port:0, dst_node:11384, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11384, src_port:0, dst_node:11385, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11385, src_port:0, dst_node:11386, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11386, src_port:0, dst_node:11387, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11387, src_port:0, dst_node:11388, dst_port:0, priority:0, msg_len:134217728
Type:rdma_send, src_node:11388, src_port:0, dst_node:11389, dst_port:0, priority:0, msg_len:134217728
