stat rdma operate:
phase:3000
Type:rdma_send, src_node:31, src_port:0, dst_node:63, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:63, src_port:0, dst_node:31, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:95, src_port:0, dst_node:127, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:127, src_port:0, dst_node:95, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:159, src_port:0, dst_node:191, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:191, src_port:0, dst_node:159, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:223, src_port:0, dst_node:255, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:255, src_port:0, dst_node:223, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:287, src_port:0, dst_node:319, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:319, src_port:0, dst_node:287, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:351, src_port:0, dst_node:383, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:383, src_port:0, dst_node:351, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:415, src_port:0, dst_node:447, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:447, src_port:0, dst_node:415, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:479, src_port:0, dst_node:511, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:511, src_port:0, dst_node:479, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:543, src_port:0, dst_node:575, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:575, src_port:0, dst_node:543, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:607, src_port:0, dst_node:639, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:639, src_port:0, dst_node:607, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:671, src_port:0, dst_node:703, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:703, src_port:0, dst_node:671, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:735, src_port:0, dst_node:767, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:767, src_port:0, dst_node:735, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:799, src_port:0, dst_node:831, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:831, src_port:0, dst_node:799, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:863, src_port:0, dst_node:895, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:895, src_port:0, dst_node:863, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:927, src_port:0, dst_node:959, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:959, src_port:0, dst_node:927, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:991, src_port:0, dst_node:1023, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1023, src_port:0, dst_node:991, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1055, src_port:0, dst_node:1087, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1087, src_port:0, dst_node:1055, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1119, src_port:0, dst_node:1151, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1151, src_port:0, dst_node:1119, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1183, src_port:0, dst_node:1215, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1215, src_port:0, dst_node:1183, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1247, src_port:0, dst_node:1279, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1279, src_port:0, dst_node:1247, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1311, src_port:0, dst_node:1343, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1343, src_port:0, dst_node:1311, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1375, src_port:0, dst_node:1407, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1407, src_port:0, dst_node:1375, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1439, src_port:0, dst_node:1471, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1471, src_port:0, dst_node:1439, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1503, src_port:0, dst_node:1535, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1535, src_port:0, dst_node:1503, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1567, src_port:0, dst_node:1599, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1599, src_port:0, dst_node:1567, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1631, src_port:0, dst_node:1663, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1663, src_port:0, dst_node:1631, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1695, src_port:0, dst_node:1727, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1727, src_port:0, dst_node:1695, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1759, src_port:0, dst_node:1791, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1791, src_port:0, dst_node:1759, dst_port:0, priority:0, msg_len:64
Type:rdma_send, src_node:1823, src_port:0, dst_node:1855, dst_port:0, priority:0, msg_len:64
