stat rdma operate:
phase:3000
Type:rdma_send, src_node:176, src_port:0, dst_node:177, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:177, src_port:0, dst_node:178, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:178, src_port:0, dst_node:179, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:179, src_port:0, dst_node:180, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:180, src_port:0, dst_node:181, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:181, src_port:0, dst_node:182, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:182, src_port:0, dst_node:183, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:183, src_port:0, dst_node:184, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:184, src_port:0, dst_node:185, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:185, src_port:0, dst_node:186, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:186, src_port:0, dst_node:187, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:187, src_port:0, dst_node:188, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:188, src_port:0, dst_node:189, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:189, src_port:0, dst_node:190, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:190, src_port:0, dst_node:191, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:191, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:176, src_port:0, dst_node:177, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:177, src_port:0, dst_node:178, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:178, src_port:0, dst_node:179, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:179, src_port:0, dst_node:180, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:180, src_port:0, dst_node:181, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:181, src_port:0, dst_node:182, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:182, src_port:0, dst_node:183, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:183, src_port:0, dst_node:184, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:184, src_port:0, dst_node:185, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:185, src_port:0, dst_node:186, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:186, src_port:0, dst_node:187, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:187, src_port:0, dst_node:188, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:188, src_port:0, dst_node:189, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:189, src_port:0, dst_node:190, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:190, src_port:0, dst_node:191, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:191, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:176, src_port:0, dst_node:177, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:177, src_port:0, dst_node:178, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:178, src_port:0, dst_node:179, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:179, src_port:0, dst_node:180, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:180, src_port:0, dst_node:181, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:181, src_port:0, dst_node:182, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:182, src_port:0, dst_node:183, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:183, src_port:0, dst_node:184, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:184, src_port:0, dst_node:185, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:185, src_port:0, dst_node:186, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:186, src_port:0, dst_node:187, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:187, src_port:0, dst_node:188, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:188, src_port:0, dst_node:189, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:189, src_port:0, dst_node:190, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:190, src_port:0, dst_node:191, dst_port:0, priority:0, msg_len:33554432
Type:rdma_send, src_node:191, src_port:0, dst_node:176, dst_port:0, priority:0, msg_len:33554432
phase:3000
Type:rdma_send, src_node:176, src_port:0, dst_node:177, dst_port:0, priority:0, msg_len:33554432
