Time NodeId NodeType IfIndex type
1.0034 256 1 5 2
1.0034 256 1 1 2
1.0034 4 0 1 1
1.0034 0 0 1 1
1.00341 256 1 5 3
1.00341 256 1 1 3
1.00341 4 0 1 0
1.00341 0 0 1 0
1.00342 256 1 5 2
1.00342 256 1 1 2
1.00342 4 0 1 1
1.00342 0 0 1 1
1.00343 256 1 5 3
1.00343 256 1 1 3
1.00343 4 0 1 0
1.00343 0 0 1 0
1.00344 256 1 5 2
1.00344 256 1 1 2
1.00344 4 0 1 1
1.00344 0 0 1 1
1.00344 256 1 5 3
1.00344 256 1 1 3
1.00345 4 0 1 0
1.00345 0 0 1 0
1.00345 256 1 5 2
1.00345 256 1 1 2
1.00345 4 0 1 1
1.00346 0 0 1 1
1.00346 256 1 5 3
1.00346 256 1 1 3
1.00346 4 0 1 0
1.00346 0 0 1 0
1.00347 256 1 5 2
1.00347 256 1 1 2
1.00347 4 0 1 1
1.00347 0 0 1 1
1.00348 256 1 5 3
1.00348 256 1 1 3
1.00348 4 0 1 0
1.00348 0 0 1 0
1.00349 256 1 5 2
1.00349 256 1 1 2
1.00349 4 0 1 1
1.00349 0 0 1 1
1.0035 256 1 5 3
1.0035 256 1 1 3
1.0035 4 0 1 0
1.0035 0 0 1 0
1.00351 256 1 5 2
1.00351 256 1 1 2
1.00351 4 0 1 1
1.00351 0 0 1 1
1.00351 256 1 5 3
1.00351 256 1 1 3
1.00352 4 0 1 0
1.00352 0 0 1 0
1.00352 256 1 5 2
1.00352 256 1 1 2
1.00352 4 0 1 1
1.00352 0 0 1 1
1.00353 256 1 5 3
1.00353 256 1 1 3
1.00353 4 0 1 0
1.00353 0 0 1 0
1.00354 256 1 5 2
1.00354 256 1 1 2
1.00354 4 0 1 1
1.00354 0 0 1 1
1.00355 256 1 5 3
1.00355 256 1 1 3
1.00355 4 0 1 0
1.00355 0 0 1 0
1.00356 256 1 5 2
1.00356 256 1 1 2
1.00356 4 0 1 1
1.00356 0 0 1 1
1.00357 256 1 5 3
1.00357 256 1 1 3
1.00357 4 0 1 0
1.00357 0 0 1 0
1.00357 256 1 5 2
1.00358 256 1 1 2
1.00358 4 0 1 1
1.00358 0 0 1 1
1.00358 256 1 5 3
1.00358 256 1 1 3
1.00359 4 0 1 0
1.00359 0 0 1 0
1.00359 256 1 5 2
1.00359 256 1 1 2
1.00359 4 0 1 1
1.00359 0 0 1 1
1.0036 256 1 5 3
1.0036 256 1 1 3
1.0036 4 0 1 0
1.0036 0 0 1 0
1.00361 256 1 5 2
1.00361 256 1 1 2
1.00361 4 0 1 1
1.00361 0 0 1 1
1.00362 256 1 5 3
1.00362 256 1 1 3
1.00362 4 0 1 0
1.00362 0 0 1 0
1.00363 256 1 5 2
1.00363 256 1 1 2
1.00363 4 0 1 1
1.00363 0 0 1 1
1.00364 256 1 5 3
1.00364 256 1 1 3
1.00364 4 0 1 0
1.00364 0 0 1 0
1.00364 256 1 5 2
1.00364 256 1 1 2
1.00365 4 0 1 1
1.00365 0 0 1 1
1.00365 256 1 5 3
1.00365 256 1 1 3
1.00366 4 0 1 0
1.00366 0 0 1 0
1.00366 256 1 5 2
1.00366 256 1 1 2
1.00366 4 0 1 1
1.00366 0 0 1 1
1.00367 256 1 5 3
1.00367 256 1 1 3
1.00367 4 0 1 0
1.00367 0 0 1 0
1.00368 256 1 5 2
1.00368 256 1 1 2
1.00368 4 0 1 1
1.00368 0 0 1 1
1.00369 256 1 5 3
1.00369 256 1 1 3
1.00369 4 0 1 0
1.00369 0 0 1 0
1.0037 256 1 5 2
1.0037 256 1 1 2
1.0037 4 0 1 1
1.0037 0 0 1 1
1.00371 256 1 5 3
1.00371 256 1 1 3
1.00371 4 0 1 0
1.00371 0 0 1 0
1.00371 256 1 5 2
1.00371 256 1 1 2
1.00372 4 0 1 1
1.00372 0 0 1 1
1.00372 256 1 5 3
1.00372 256 1 1 3
1.00372 4 0 1 0
1.00373 0 0 1 0
1.00374 256 1 5 2
1.00374 4 0 1 1
1.00374 256 1 5 3
1.00375 4 0 1 0
1.00377 256 1 5 2
1.00377 4 0 1 1
1.00378 256 1 5 3
1.00378 4 0 1 0
1.0038 256 1 5 2
1.0038 4 0 1 1
1.00381 256 1 5 3
1.00381 4 0 1 0
1.00383 256 1 5 2
1.00383 4 0 1 1
1.00384 256 1 5 3
1.00384 4 0 1 0
1.00386 256 1 5 2
1.00387 4 0 1 1
1.00387 256 1 5 3
1.00387 4 0 1 0
1.0039 256 1 5 2
1.0039 4 0 1 1
1.0039 256 1 5 3
1.00391 4 0 1 0
1.00393 256 1 5 2
1.00393 4 0 1 1
1.00394 256 1 5 3
1.00394 4 0 1 0
1.00396 256 1 5 2
1.00396 4 0 1 1
1.00397 256 1 5 3
1.00397 4 0 1 0
1.00399 256 1 5 2
1.00399 4 0 1 1
1.004 256 1 5 3
1.004 4 0 1 0
1.00403 256 1 5 2
1.00403 4 0 1 1
1.00403 256 1 5 3
1.00404 4 0 1 0
1.00406 256 1 5 2
1.00406 4 0 1 1
1.00407 256 1 5 3
1.00407 4 0 1 0
1.00409 256 1 5 2
1.00409 4 0 1 1
1.0041 256 1 5 3
1.0041 4 0 1 0
1.00412 256 1 5 2
1.00412 4 0 1 1
1.00413 256 1 5 3
1.00413 4 0 1 0
