switch totalused egressOccupancyLossless egressOccupancyLossy ingressPoolOccupancy headroomOccupancy sharedPoolOccupancy time
0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 1
2 0 0 0 0 0 0 1
3 0 0 0 0 0 0 1
4 0 0 0 0 0 0 1
5 0 0 0 0 0 0 1
6 0 0 0 0 0 0 1
7 0 0 0 0 0 0 1
8 0 0 0 0 0 0 1
9 0 0 0 0 0 0 1
10 0 0 0 0 0 0 1
11 0 0 0 0 0 0 1
12 0 0 0 0 0 0 1
13 0 0 0 0 0 0 1
14 0 0 0 0 0 0 1
15 0 0 0 0 0 0 1
0 0 0 0 0 0 0 1.00003
1 0 0 0 0 0 0 1.00003
2 0 0 0 0 0 0 1.00003
3 0 0 0 0 0 0 1.00003
4 0 0 0 0 0 0 1.00003
5 0 0 0 0 0 0 1.00003
6 0 0 0 0 0 0 1.00003
7 0 0 0 0 0 0 1.00003
8 0 0 0 0 0 0 1.00003
9 0 0 0 0 0 0 1.00003
10 0 0 0 0 0 0 1.00003
11 0 0 0 0 0 0 1.00003
12 0 0 0 0 0 0 1.00003
13 0 0 0 0 0 0 1.00003
14 0 0 0 0 0 0 1.00003
15 0 0 0 0 0 0 1.00003
0 0 0 0 0 0 0 1.00005
1 0 0 0 0 0 0 1.00005
2 0 0 0 0 0 0 1.00005
3 0 0 0 0 0 0 1.00005
4 0 0 0 0 0 0 1.00005
5 0 0 0 0 0 0 1.00005
6 0 0 0 0 0 0 1.00005
7 0 0 0 0 0 0 1.00005
8 0 0 0 0 0 0 1.00005
9 0 0 0 0 0 0 1.00005
10 0 0 0 0 0 0 1.00005
11 0 0 0 0 0 0 1.00005
12 0 0 0 0 0 0 1.00005
13 0 0 0 0 0 0 1.00005
14 0 0 0 0 0 0 1.00005
15 0 0 0 0 0 0 1.00005
0 0 0 0 0 0 0 1.00008
1 0 0 0 0 0 0 1.00008
2 0 0 0 0 0 0 1.00008
3 0 0 0 0 0 0 1.00008
4 0 0 0 0 0 0 1.00008
5 0 0 0 0 0 0 1.00008
6 0 0 0 0 0 0 1.00008
7 0 0 0 0 0 0 1.00008
8 0 0 0 0 0 0 1.00008
9 0 0 0 0 0 0 1.00008
10 0 0 0 0 0 0 1.00008
11 0 0 0 0 0 0 1.00008
12 0 0 0 0 0 0 1.00008
13 0 0 0 0 0 0 1.00008
14 0 0 0 0 0 0 1.00008
15 0 0 0 0 0 0 1.00008
0 0 0 0 0 0 0 1.0001
1 0 0 0 0 0 0 1.0001
2 0 0 0 0 0 0 1.0001
3 0 0 0 0 0 0 1.0001
4 0 0 0 0 0 0 1.0001
5 0 0 0 0 0 0 1.0001
6 0 0 0 0 0 0 1.0001
7 0 0 0 0 0 0 1.0001
8 0 0 0 0 0 0 1.0001
9 0 0 0 0 0 0 1.0001
10 0 0 0 0 0 0 1.0001
11 0 0 0 0 0 0 1.0001
12 0 0 0 0 0 0 1.0001
13 0 0 0 0 0 0 1.0001
14 0 0 0 0 0 0 1.0001
